latitude,longitude,elev,ilplat,ilplng,iso
71.8567,-112.6025,2135,71.1383,-122.9242,373.9106
39.2508,93.6967,19127,36.5800,91.1125,373.4814
38.9858,-114.3142,13063,40.7567,-110.6075,373.0759
3.6825,-56.5358,4035,4.8317,-59.6950,373.0181
-10.4833,105.5808,1187,-7.3008,106.6975,372.7921
10.3767,114.3675,45,8.6067,117.2542,372.5403
0.5775,120.2050,9941,-2.7008,119.4558,371.9612
25.9558,-107.0475,10837,23.2067,-104.9442,371.6218
46.8900,91.4733,13881,49.1450,87.8333,369.5218
-18.0575,-163.1900,75,-18.8692,-159.7992,369.2447
10.5433,-66.7825,9072,9.7525,-70.0525,368.8732
53.0683,-4.0758,3560,56.3700,-4.5350,368.7252
53.6067,134.5750,7776,55.8967,130.4533,367.8719
-9.0258,-157.8842,75,-9.9992,-161.0858,367.6475
-18.1200,-60.0200,4331,-18.3800,-63.4842,367.4744
36.5933,30.1500,10072,37.2208,34.1967,367.2689
9.8442,160.8000,55,6.6942,159.7675,366.4738
-67.3083,164.6317,5000,-69.9475,159.2583,366.4015
9.1350,23.1450,4484,12.3975,23.7233,366.3726
13.2625,120.9950,8481,16.5708,120.9000,366.2013
9.1367,23.1458,4484,12.3975,23.7233,366.1754
26.3133,114.0367,7021,25.8658,110.4133,365.8467
48.6442,66.9458,3664,47.9942,71.7575,364.0313
31.4483,110.3042,10187,33.8850,107.7142,363.3490
34.3008,36.1158,10131,37.2150,34.2917,362.9749
0.9558,13.6858,3510,3.0767,11.2000,362.5818
-4.4617,-171.2575,55,-4.6817,-174.5150,362.2923
-10.3967,56.6192,62,-7.1408,56.2800,362.0209
-4.4550,-171.2608,55,-4.6817,-174.5150,361.9767
70.7992,-71.6500,6250,73.2292,-78.6225,361.9315
4.0017,-81.6075,991,7.2642,-81.7942,361.3727
-19.6092,169.4017,3556,-16.5125,168.3450,360.5301
38.5000,97.7250,19055,39.2508,93.6975,359.2656
-73.2500,-126.1000,10203,-76.4625,-125.8758,358.6253
-3.3008,126.2200,8858,-3.1742,129.4417,358.3390
53.1258,-168.6942,7051,54.7533,-163.9883,358.1056
8.4942,99.7292,5840,5.4625,100.8650,357.9878
-9.2308,51.0342,68,-11.9558,49.2725,357.7839
-24.6808,-124.7725,26,-24.4183,-128.2917,357.7186
-24.6750,-124.7758,26,-24.4183,-128.2917,357.3383
17.1458,22.4967,4442,14.4558,24.3383,357.1106
-67.4392,164.7683,5000,-70.5367,162.5083,357.1096
-24.6742,-124.7783,26,-24.4183,-128.2917,357.0797
-27.8875,23.5608,6108,-29.2525,26.8658,356.9749
66.9350,-36.7875,11125,68.8675,-30.0083,356.7837
44.9950,100.2308,12982,47.6075,97.5525,356.1943
51.4700,-100.7208,2729,50.0025,-105.2067,356.1934
-24.6742,-124.7883,26,-24.4183,-128.2917,356.0699
-24.6750,-124.7925,26,-24.4183,-128.2917,355.6553
-9.0275,-158.0050,75,-9.9992,-161.0858,354.9258
-1.6167,11.7650,3385,1.2600,10.3758,353.6725
7.3733,143.8333,62,7.3817,147.0367,353.6613
51.2975,123.1283,4970,54.3433,121.6717,352.8703
-5.6467,176.0650,72,-7.4733,178.6742,352.2310
-5.6458,176.0658,72,-7.4733,178.6742,352.2085
-18.7717,21.7533,4511,-21.0600,19.4200,351.9179
-1.1567,133.9800,9695,-3.8842,135.5933,350.9203
-4.7083,140.2892,15607,-4.0850,137.1892,350.9175
-25.2092,30.1500,7648,-28.2558,29.2008,350.5233
21.5275,70.5275,3757,19.9133,73.4225,350.5120
20.7458,36.8392,7139,21.1475,40.1800,350.2984
-33.3983,21.3675,7628,-31.7583,24.5383,348.8521
3.9467,32.9100,10456,1.2642,34.5242,346.6949
7.6225,-8.4083,5748,9.2275,-11.1108,346.5212
43.1975,-4.8525,8688,42.7883,-0.6400,346.4864
54.2233,18.1242,1082,51.2242,19.4158,344.9584
38.2667,47.8367,15784,39.7025,44.3117,344.4793
-2.6208,176.8067,65,-5.6458,176.0658,344.4645
-2.6250,176.8133,65,-5.6458,176.0658,344.1948
-0.1958,104.5500,3822,-1.7867,101.8967,343.7324
64.8300,-83.6025,2005,66.0958,-90.3617,343.4302
28.5983,-81.7292,310,31.2208,-83.6067,342.5994
12.1125,-12.2633,5022,9.2233,-11.1383,342.4529
56.6033,-169.6783,948,53.9817,-166.9042,340.8860
-2.6650,176.8450,65,-5.6458,176.0658,340.7788
-39.2892,175.5625,9177,-41.9950,173.6633,340.7023
-9.7450,46.5142,101,-12.0717,44.4725,340.6503
-2.6667,176.8450,65,-5.6458,176.0658,340.6005
46.8108,151.7900,5049,45.3783,147.9142,339.3365
27.4700,-112.5917,6401,29.8075,-110.3525,339.1662
23.5392,-109.9542,6824,25.7642,-107.6550,338.9717
24.2392,-75.3742,209,22.0267,-77.6533,338.4044
69.9650,109.6158,2979,66.9683,108.4158,337.8340
32.6392,21.8400,2883,35.3033,23.6075,337.6374
28.6492,-81.7333,310,31.2208,-83.6067,337.5923
56.2192,-159.2975,8225,54.7592,-163.9642,336.7128
1.1183,34.5267,14177,-0.1233,37.2883,336.6754
23.9633,86.1292,4482,26.9592,86.5600,334.6944
30.9925,-115.3750,10154,33.7942,-116.6875,334.3211
22.7875,-83.3683,2276,21.9750,-80.2517,333.3291
-85.7092,-128.6292,12927,-85.3617,-167.3908,332.6743
